Winkel;Tool;J1;J2;J3;J4;J5;J6
222;T1;-74.9547;14.8858;45.7949;122.386;22.3064;35.7884
223;T1;-75.2105;14.9491;45.7832;120.625;22.8572;36.5098
224;T1;-75.4726;15.0184;45.7601;118.901;23.4154;37.1869
225;T1;-75.7402;15.0938;45.7252;117.213;23.9802;37.8217
226;T1;-76.0124;15.1753;45.6784;115.56;24.551;38.4163
227;T1;-76.2883;15.2631;45.6197;113.941;25.1272;38.9725
228;T1;-76.5672;15.3571;45.549;112.354;25.7084;39.4923
229;T1;-76.8484;15.4574;45.4663;110.798;26.294;39.9774
230;T1;-77.131;15.564;45.3716;109.273;26.8836;40.4295
231;T1;-77.4145;15.6768;45.265;107.777;27.4767;40.8502
232;T1;-77.6981;15.7958;45.1466;106.309;28.0729;41.2411
233;T1;-77.9813;15.921;45.0164;104.868;28.6719;41.6037
234;T1;-78.2634;16.0522;44.8747;103.454;29.2733;41.9393
235;T1;-78.544;16.1895;44.7215;102.065;29.8768;42.2492
236;T1;-78.8224;16.3326;44.5571;100.701;30.4821;42.5348
237;T1;-79.0983;16.4816;44.3816;99.3611;31.089;42.7972
238;T1;-79.3712;16.6363;44.1952;98.0443;31.6971;43.0375
239;T1;-79.6406;16.7966;43.9981;96.7501;32.3062;43.2569
240;T1;-79.9061;16.9623;43.7905;95.4777;32.9162;43.4562
241;T1;-80.1675;17.1334;43.5726;94.2265;33.5267;43.6365
242;T1;-80.4244;17.3097;43.3447;92.9959;34.1377;43.7987
243;T1;-80.6764;17.4911;43.1069;91.7854;34.7489;43.9436
244;T1;-80.9233;17.6774;42.8595;90.5943;35.3603;44.072
245;T1;-81.1648;17.8685;42.6028;89.4221;35.9715;44.1847
246;T1;-81.4008;18.0643;42.3369;88.2684;36.5826;44.2823
247;T1;-81.6309;18.2646;42.0621;87.1325;37.1934;44.3656
248;T1;-81.8549;18.4693;41.7786;86.0142;37.8037;44.4352
249;T1;-82.0728;18.6782;41.4867;84.9128;38.4135;44.4918
250;T1;-82.2844;18.8912;41.1866;83.8279;39.0227;44.5357
251;T1;-82.4895;19.1081;40.8785;82.7593;39.6311;44.5676
252;T1;-82.688;19.3289;40.5627;81.7063;40.2388;44.5881
253;T1;-82.8798;19.5532;40.2393;80.6687;40.8457;44.5974
254;T1;-83.0648;19.7811;39.9087;79.6461;41.4516;44.5961
255;T1;-83.2429;20.0123;39.571;78.6381;42.0565;44.5847
256;T1;-83.4142;20.2468;39.2265;77.6443;42.6604;44.5634
257;T1;-83.5785;20.4843;38.8753;76.6645;43.2632;44.5327
258;T1;-83.7357;20.7248;38.5178;75.6982;43.8648;44.4928
259;T1;-83.886;20.9681;38.154;74.7453;44.4653;44.4442
260;T1;-84.0292;21.2141;37.7844;73.8053;45.0646;44.3871
261;T1;-84.1653;21.4627;37.4089;72.878;45.6627;44.3218
262;T1;-84.2944;21.7136;37.0279;71.963;46.2594;44.2485
263;T1;-84.4165;21.9668;36.6416;71.0602;46.8548;44.1675
264;T1;-84.5316;22.2222;36.2502;70.1692;47.4489;44.0791
265;T1;-84.6396;22.4797;35.8538;69.2897;48.0417;43.9834
266;T1;-84.7407;22.7391;35.4527;68.4215;48.633;43.8807
267;T1;-84.8349;23.0002;35.047;67.5644;49.2229;43.7712
268;T1;-84.9222;23.2631;34.637;66.718;49.8114;43.6549
269;T1;-85.0026;23.5275;34.2229;65.8822;50.3984;43.5322
270;T1;-85.0763;23.7935;33.8047;65.0567;50.9839;43.4031
271;T1;-85.1432;24.0607;33.3829;64.2413;51.5678;43.2678
272;T1;-85.2035;24.3292;32.9574;63.4357;52.1502;43.1264
273;T1;-85.2572;24.5989;32.5284;62.6398;52.7311;42.9791
274;T1;-85.3043;24.8695;32.0963;61.8533;53.3103;42.8259
275;T1;-85.3449;25.1412;31.6611;61.0759;53.888;42.667
276;T1;-85.3792;25.4136;31.223;60.3076;54.4639;42.5025
277;T1;-85.4071;25.6868;30.7822;59.548;55.0382;42.3325
278;T1;-85.4288;25.9606;30.3389;58.797;55.6108;42.1571
279;T1;-85.4442;26.235;29.8931;58.0544;56.1816;41.9762
280;T1;-85.4536;26.5099;29.4452;57.32;56.7506;41.7902
281;T1;-85.457;26.7851;28.9952;56.5935;57.3178;41.5989
282;T1;-85.4545;27.0606;28.5434;55.8748;57.8832;41.4024
283;T1;-85.446;27.3362;28.0898;55.1638;58.4467;41.2009
284;T1;-85.4318;27.612;27.6347;54.4602;59.0083;40.9944
285;T1;-85.4119;27.8878;27.1782;53.7638;59.5679;40.7829
286;T1;-85.3864;28.1635;26.7205;53.0745;60.1255;40.5664
287;T1;-85.3554;28.439;26.2617;52.3921;60.681;40.3451
288;T1;-85.3189;28.7144;25.8019;51.7164;61.2345;40.119
289;T1;-85.2771;28.9894;25.3414;51.0472;61.7858;39.888
290;T1;-85.23;29.264;24.8803;50.3845;62.3349;39.6523
291;T1;-85.1777;29.5381;24.4187;49.7279;62.8818;39.4118
292;T1;-85.1202;29.8117;23.9568;49.0774;63.4264;39.1667
293;T1;-85.0578;30.0847;23.4948;48.4327;63.9687;38.9168
294;T1;-84.9904;30.3569;23.0327;47.7938;64.5085;38.6623
295;T1;-84.9181;30.6284;22.5708;47.1605;65.0459;38.4032
296;T1;-84.841;30.899;22.1091;46.5325;65.5808;38.1395
297;T1;-84.7593;31.1687;21.648;45.9098;66.113;37.8711
298;T1;-84.6729;31.4374;21.1874;45.2922;66.6427;37.5982
299;T1;-84.5819;31.705;20.7275;44.6796;67.1696;37.3207
300;T1;-84.4865;31.9715;20.2685;44.0717;67.6938;37.0387
301;T1;-84.3867;32.2367;19.8106;43.4685;68.2151;36.7521
302;T1;-84.2826;32.5007;19.3538;42.8699;68.7335;36.4611
303;T1;-84.1742;32.7633;18.8983;42.2755;69.2489;36.1654
304;T1;-84.0617;33.0244;18.4444;41.6854;69.7612;35.8653
305;T1;-83.9451;33.284;17.992;41.0994;70.2704;35.5607
306;T1;-83.8245;33.5421;17.5414;40.5173;70.7764;35.2516
307;T1;-83.6999;33.7985;17.0927;39.9391;71.2791;34.938
308;T1;-83.5714;34.0532;16.6461;39.3645;71.7784;34.6199
309;T1;-83.4392;34.3061;16.2017;38.7934;72.2743;34.2974
310;T1;-83.3032;34.5571;15.7597;38.2258;72.7665;33.9704
311;T1;-83.1636;34.8062;15.3201;37.6615;73.2552;33.6389
312;T1;-83.0203;35.0533;14.8832;37.1003;73.7401;33.3029
313;T1;-82.8736;35.2984;14.4491;36.5421;74.2213;32.9625
314;T1;-82.7234;35.5413;14.018;35.9868;74.6985;32.6177
315;T1;-82.5697;35.782;13.5899;35.4343;75.1717;32.2684
316;T1;-82.4128;36.0203;13.1651;34.8845;75.6408;31.9147
317;T1;-82.2526;36.2564;12.7437;34.3372;76.1057;31.5566
318;T1;-82.0892;36.49;12.3258;33.7923;76.5664;31.194
319;T1;-81.9227;36.7211;11.9116;33.2498;77.0226;30.827
320;T1;-81.7531;36.9497;11.5013;32.7094;77.4744;30.4556
321;T1;-81.5805;37.1756;11.095;32.1711;77.9215;30.0798
322;T1;-81.4049;37.3989;10.6928;31.6348;78.364;29.6996
323;T1;-81.2265;37.6193;10.2949;31.1004;78.8016;29.315
324;T1;-81.0452;37.8369;9.90141;30.5677;79.2344;28.926
325;T1;-80.8611;38.0516;9.51255;30.0367;79.6621;28.5327
326;T1;-80.6744;38.2633;9.12843;29.5072;80.0846;28.135
327;T1;-80.485;38.4719;8.74922;28.9793;80.502;27.733
328;T1;-80.2929;38.6774;8.37506;28.4526;80.914;27.3266
329;T1;-80.0984;38.8797;8.00612;27.9273;81.3205;26.916
330;T1;-79.9014;39.0788;7.64252;27.4031;81.7214;26.5011
331;T1;-79.7019;39.2745;7.28444;26.88;82.1167;26.0819
332;T1;-79.5;39.4667;6.93201;26.3579;82.5061;25.6585
333;T1;-79.2959;39.6555;6.5854;25.8367;82.8896;25.2309
334;T1;-79.0894;39.8408;6.24475;25.3163;83.2671;24.799
335;T1;-78.8808;40.0224;5.91022;24.7967;83.6384;24.3631
336;T1;-78.67;40.2003;5.58195;24.2777;84.0034;23.9229
337;T1;-78.4571;40.3745;5.26009;23.7593;84.362;23.4787
338;T1;-78.2421;40.5448;4.9448;23.2415;84.7141;23.0305
339;T1;-78.0251;40.7112;4.63622;22.724;85.0596;22.5782
340;T1;-77.8062;40.8737;4.3345;22.207;85.3983;22.1219
341;T1;-77.5854;41.0321;4.03978;21.6903;85.7301;21.6617
342;T1;-77.3628;41.1865;3.75221;21.1738;86.055;21.1975
343;T1;-77.1383;41.3366;3.47193;20.6575;86.3728;20.7296
344;T1;-76.9121;41.4825;3.19909;20.1413;86.6833;20.2578
345;T1;-76.6843;41.6242;2.93382;19.6252;86.9865;19.7823
346;T1;-76.4548;41.7614;2.67627;19.1092;87.2822;19.3031
347;T1;-76.2237;41.8942;2.42657;18.5931;87.5704;18.8203
348;T1;-75.991;42.0226;2.18485;18.0769;87.8509;18.334
349;T1;-75.7569;42.1464;1.95125;17.5606;88.1236;17.8441
350;T1;-75.5214;42.2656;1.72589;17.0441;88.3884;17.3509
351;T1;-75.2844;42.3801;1.50891;16.5275;88.6451;16.8542
352;T1;-75.0462;42.4899;1.30042;16.0106;88.8938;16.3543
353;T1;-74.8066;42.5949;1.10055;15.4935;89.1342;15.8512
354;T1;-74.5659;42.6951;0.90941;14.976;89.3663;15.3451
355;T1;-74.3239;42.7904;0.727121;14.4582;89.59;14.8358
356;T1;-74.0809;42.8808;0.553787;13.9401;89.8052;14.3237
357;T1;-73.8367;42.9662;0.389522;13.4217;90.0117;13.8087
358;T1;-73.5916;43.0465;0.234418;12.9028;90.2096;13.2909
359;T1;-73.3455;43.1218;0.0885861;12.3835;90.3986;12.7705
360;T1;-73.0984;43.192;-0.0478926;11.8638;90.5787;12.2476
361;T1;-72.8505;43.257;-0.174915;11.3437;90.7499;11.7222
362;T1;-72.6018;43.3168;-0.292416;10.8232;90.9121;11.1945
363;T1;-72.3523;43.3714;-0.400303;10.3022;91.0651;10.6646
364;T1;-72.1021;43.4207;-0.498499;9.78079;91.2089;10.1326
365;T1;-71.8513;43.4647;-0.586945;9.25892;91.3435;9.59857
366;T1;-71.5999;43.5034;-0.665568;8.73661;91.4687;9.06267
367;T1;-71.3479;43.5368;-0.734313;8.21385;91.5846;8.52502
368;T1;-71.0954;43.5648;-0.793132;7.69066;91.691;7.98575
369;T1;-70.8425;43.5874;-0.841965;7.16703;91.788;7.44497
370;T1;-70.5892;43.6045;-0.880794;6.64299;91.8754;6.90282
371;T1;-70.3356;43.6163;-0.909559;6.11852;91.9533;6.35942
372;T1;-70.0817;43.6226;-0.928248;5.59366;92.0215;5.81491
373;T1;-69.8275;43.6235;-0.93683;5.0684;92.0802;5.26941
374;T1;-69.5732;43.6189;-0.935292;4.54276;92.1291;4.72306
375;T1;-69.3189;43.6088;-0.923618;4.01676;92.1684;4.176
376;T1;-69.0644;43.5933;-0.901813;3.49041;92.198;3.62835
377;T1;-68.8099;43.5723;-0.86987;2.96372;92.2179;3.08026
378;T1;-68.5555;43.5459;-0.827813;2.43671;92.2281;2.53186
379;T1;-68.3012;43.514;-0.775634;1.9094;92.2286;1.98329
380;T1;-68.0471;43.4767;-0.713367;1.38179;92.2194;1.43468
381;T1;-67.7932;43.434;-0.641037;0.853918;92.2005;0.886172
